time,Energy Leak from beginning
900,-14397.641670256467
1800,-27991.77640487427
2700,-40962.671720914324
3600,-53439.92520498878
4500,-65518.55610073504
5400,-77269.63393378948
6300,-88747.34066413113
7200,-99993.72562062732
8100,-111041.9599075057
9000,-121918.60331332203
9900,-132645.21142610392
10800,-143239.49454842234
11700,-153716.16698622392
12600,-164087.5788955846
13500,-174364.1929978323
14400,-184554.9489575747
15300,-194667.54526436666
16200,-204708.65972708588
17100,-214684.1237319088
18000,-224599.06126907858
18900,-234458.0008290384
19800,-244264.96619844236
20700,-254023.55069154152
21600,-263736.9782675967
22500,-273408.15418102464
23400,-283039.70721755153
24300,-292634.0251159068
25200,-302193.2844384513
26100,-311719.4758910526
27000,-321214.4258909845
27900,-330679.8150265694
28800,-340117.19392708666
29700,-349527.9969664961
30600,-358913.5541462695
31500,-368275.10144071945
32400,-377613.7898408608
33300,-386930.69328760536
34200,-396226.815541918
35100,-405503.09672175575
36000,-414760.41841208603
36900,-423999.6086654818
37800,-433221.44635530584
38700,-442426.66507329576
39600,-451615.95662937703
40500,-460789.97420463135
41400,-469949.3352007636
42300,-479094.623820582
43200,-488226.3934103949
44100,-497345.1685914589
45000,-506451.4472059163
45900,-515545.7020944794
46800,-524628.3827254099
47700,-533699.9166899129
48600,-542760.711074585
49500,-551811.1537294688
50400,-560851.6144344475
51300,-569882.4459782803
52200,-578903.9851577404
53100,-587916.5537011382
54000,-596920.4591278675
54900,-605915.9955443848
55800,-614903.4443854099
56700,-623883.0751050123
57600,-632855.1458187306
58500,-641819.9039038076
59400,-650777.5865599887
60300,-659728.4213324034
61200,-668672.6266030234
62100,-677610.4120478277
63000,-686541.9790682689
63900,-695467.5211938501
64800,-704387.2244610765
65700,-713301.2677694279
66600,-722209.8232158829
67500,-731113.0564087878
68400,-740011.1267658009
69300,-748904.1877920638
70200,-757792.3873441146
71100,-766675.8678783609
72000,-775554.7666858035
72900,-784429.2161137877
73800,-793299.3437766356
74700,-802165.2727528552
75600,-811027.1217745752
76500,-819885.005404668
77400,-828739.0342068074
78300,-837589.3149049162
79200,-846435.9505356483
80100,-855279.0405938128
81000,-864118.6811692964
81900,-872954.9650779471
82800,-881787.9819864425
83700,-890617.818531071
84600,-899444.5584307306
85500,-908268.2825947963
86400,-917089.0692264992
87300,-925906.9939209794
88200,-934722.1297588241
89100,-943534.5473973721
90000,-952344.3151549497
90900,-961151.4990940852
91800,-969956.1631002362
92700,-978758.3689570499
93600,-987558.1764191034
94500,-996355.6432806219
95400,-1005150.8254426221
96300,-1013943.7769767657
97200,-1022734.5501867452
98100,-1031523.1956670122
99000,-1040309.7623598285
99900,-1049094.297609791
100800,-1057876.8472161226
101700,-1066657.4554834974
102600,-1075436.165270261
103500,-1084213.0180360794
104400,-1092988.0538861642
105300,-1101761.3116154263
106200,-1110532.8287506022
107100,-1119302.641590233
108000,-1128070.7852441564
108900,-1136837.2936710892
109800,-1145602.1997149875
110700,-1154365.5351407721
111600,-1163127.3306677376
112500,-1171887.6160024968
113400,-1180646.4198709435
114300,-1189403.770049298
115200,-1198159.6933930432
116100,-1206914.215866088
117000,-1215667.362569013
117900,-1224419.1577647144
118800,-1233169.6249059718
119700,-1241918.7866595988
120600,-1250666.6649315164
121500,-1259413.2808896606
122400,-1268158.6549878868
123300,-1276902.806987044
124200,-1285645.7559774518
125100,-1294387.5203991984
126000,-1303128.1180622731
126900,-1311867.5661664256
127800,-1320605.8813201725
128700,-1329343.079558858
129600,-1338079.1763627224
130500,-1346814.186674185
131400,-1355548.1249143535
132300,-1364281.004999914
133200,-1373012.8403582396
134100,-1381743.643942854
135000,-1390473.4282484837
135900,-1399202.2053255567
